,title,answers
0,Kafada hissedilen basınç hissi,"Merhaba
Mevcut şikayetinizle alakalı sadece basınç hissi varsa bu sinüzite bağlı olabilir. Sinüzitte genellikle ağrı da beklenir. Bunun dışında trigeminal nevraljide de benzer durum görülebilir. (Ağrı olmalıdır) Ayrıca üst çene diş problemlerinde de benzer şikayetler oluşabilir. Bunları ayırt edilebilecek yegane görüntüleme ise beyin tomografisidir. 
Öncelikle bir diş hekimiyle görüşüp sonrasında da nöroloji hekimiyle görüşmeniz uygun olacaktır. "
1,Mr sonucu bakma,"Merhaba. 
Kavum septum pellicidum et vargae varyasyonu bazı hastalıklarla ilişkili bulunmakla birlikte normal de olabilir. Bununla ilgili sadece birkaç olgu vardır net bir çalışma yoktur.
Sonuçta mukus retansiyon kisti yani sinüs kanallarının tıkanmasına bağlı oluşan kist çıkmış. Baş ağrınıza bu kist sebep olabilir. Kulak burun boğaz bölümüne görünebilirsiniz. "
2,cildimdeki sorun,"Merhaba lekelerin fotoğrafı bize sorunu bulmada çok yardımcı olurdu. Bu tarz sorularda lütfen soruya ek olarak fotoğraf ekleyiniz. 
Hareketle artan lekelerin vücuttaki yerleşimi ve rengi önemlidir. Genellikle ter bezlerindeki problemlerden kaynaklanmakla birlikte vücutta artan stres hormonundan da kaynaklanabilmektedir. Genellikle zararsızdırlar. "
3,Boğaz reflüsü,"Merhaba boğaz reflüsü yani larengofarengeal reflü hastalığında belirtmiş olduğunuz şikayetler görülebilir. İlaç kullanımı süresince bu rahatsızlıklarınızın azalıyor olması gerekli. Tabi burda yediğiniz yiyeceklere bağlı olarak mide asitinin artması ve sonucunda tekrar boğazda tahriş ve yanma olabilir.
Ayrı zamanda eğer bir üst solunum yolu enfeksiyonu geçiriyorsanız aynı şekilde boğazda batma ve yanma şikayeti olabilir. İleri özofageal inceleme için bir gastroenterolog ile görüşmenizde yarar var."
4,Gebe miyim?,Merhaba testi 1 gün sonra tekrarlayın. Gebelik testleri %99 doğru sonuç verir. Silik testlerde genellikle pozitife döner 1 gün sonra. Emin olmak açısından tekrar kanda gebelik baktırabilirsiniz.
5,Uyuşma,"Merhaba;
Şikayetiniz anlık olup geçtiyse ve kalıcı bir hasar bırakmadıysa daha çok psikiyatrik bir problem olduğunu düşünebiliriz. Bu tarz şikayetler tekrar etmediği sürece sorun yaratmazlar. Bazen altta yatan nedenin araştırılması da gerekebilir. Müsait bir zamanda psikiyatri polikliniğini ziyaret ediniz."
6,Adet Söktürücü,Merhaba adet söktürücü ilaçlar hormonal dengenizi bozarak erken adet olmanızı sağlayabilir ama gebe kalmak için bu yol tehlikeli bir yoldur sonrasında hormonal dengesizlik ve adet düzensizliği olabileceğinden bu ilaçların kullanımı sonrası bir süre gebelik önerilmez. Düşük ile sonuçlanabilir. Sağlıklı günler
7,Örn Soru 17: kilo ve kıllanma,Ayrıntılı bir çok test yapılması gerekli. Ancak burda bunları belirtmemişsiniz. En mantıklısı bir endokronoloji uzmanına tekrar görünmeniz.
8,derin nefes alamama,"Merhabalar
Yaşamış olduğunuz problem genellikle psikiyatrik bir problemle ilişkilidir. Yakın zamanda yaşanan ağır travma, aşırı stres ve kaygı, ölüm korkusu gibi etmenler buna sebep olabilir. Öncelikle beraberinde nefes darlığı, öksürük, geceleri nefessiz kalarak uyanma gibi şikayetleriniz de varsa göğüs hastalıkları bölümüyle görüşebilirsiniz. Eğer bunlardan biri yok ise psikiyatri ile görüşüp uygun bir anksiyete önleyici ilaçla probleminizi çözüme kavuşturabilirsiniz.
Sağlıklı günler"
9,Sürtünmeyle hamile kalınır mı?,Spermler vajinaya temas etmediği sürece hamile kalınması mümkün değildir. Sürtünmeyle hamile kalınması (kıyafetli olarak) erkek boşalsa dahi mümkün değildir. 
10,Diz ve bacak ağrısı,"Merhaba
Yaşınızı belirtmediğiniz için sorunuza yanıt vermek zor olacak fakat otururken olan ağrılar genellikle kas yorgunluğuna bağlı olmakla birlikte diz ekleminde kireçlenme, bacak varisleri, siyatik sinir sıkışması, diz bağlarındaki problemler ve diz kapağı problemlerinden de kaynaklanabilir. 
Sizin için en uygunu ortopedi  ve fizik tedavi başta olmak üzere, kalp damar cerrahisi ve beyin cerrahisi bölümlerine muayane olmanızdır. Gerekli görüntüleme işlemlerinden sonra ilaç başlanacaktır."
11,Hiv,"Merhaba
Şüpheli bir cinsel ilişkide prezervatifin hiv virüsüne karşı cinsel yolla koruyuculuğu %100 denebilir. Geçiş gösterilmemiştir. (Prezervatif delinmesi vs yoksa) Fakat diğer virüsler için koruyuculuğu aynı oranda değildir. Örneğin hpv virüsü prezervatif kullanılsa bile bulaşabilir. Bu tarz ilişkilerde mutlaka partnerinizle konuşmanız şüphesiz en doğru yaklaşım olacaktır. "
12,Örn Soru 10: Testis Ağrısı,Üroloji doktoru ile aynı görüşteyim. Varikosele baplı ağrılarınız var. İleri dönemde kısırlığa bile sebep olabilir.
13,Kafada hissedilen basınç hissi,"Merhaba
Mevcut şikayetinizle alakalı sadece basınç hissi varsa bu sinüzite bağlı olabilir. Sinüzitte genellikle ağrı da beklenir. Bunun dışında trigeminal nevraljide de benzer durum görülebilir. (Ağrı olmalıdır) Ayrıca üst çene diş problemlerinde de benzer şikayetler oluşabilir. Bunları ayırt edilebilecek yegane görüntüleme ise beyin tomografisidir. 
Öncelikle bir diş hekimiyle görüşüp sonrasında da nöroloji hekimiyle görüşmeniz uygun olacaktır. "
14,Mr sonucu bakma,"Merhaba. 
Kavum septum pellicidum et vargae varyasyonu bazı hastalıklarla ilişkili bulunmakla birlikte normal de olabilir. Bununla ilgili sadece birkaç olgu vardır net bir çalışma yoktur.
Sonuçta mukus retansiyon kisti yani sinüs kanallarının tıkanmasına bağlı oluşan kist çıkmış. Baş ağrınıza bu kist sebep olabilir. Kulak burun boğaz bölümüne görünebilirsiniz. "
15,cildimdeki sorun,"Merhaba lekelerin fotoğrafı bize sorunu bulmada çok yardımcı olurdu. Bu tarz sorularda lütfen soruya ek olarak fotoğraf ekleyiniz. 
Hareketle artan lekelerin vücuttaki yerleşimi ve rengi önemlidir. Genellikle ter bezlerindeki problemlerden kaynaklanmakla birlikte vücutta artan stres hormonundan da kaynaklanabilmektedir. Genellikle zararsızdırlar. "
16,Boğaz reflüsü,"Merhaba boğaz reflüsü yani larengofarengeal reflü hastalığında belirtmiş olduğunuz şikayetler görülebilir. İlaç kullanımı süresince bu rahatsızlıklarınızın azalıyor olması gerekli. Tabi burda yediğiniz yiyeceklere bağlı olarak mide asitinin artması ve sonucunda tekrar boğazda tahriş ve yanma olabilir.
Ayrı zamanda eğer bir üst solunum yolu enfeksiyonu geçiriyorsanız aynı şekilde boğazda batma ve yanma şikayeti olabilir. İleri özofageal inceleme için bir gastroenterolog ile görüşmenizde yarar var."
17,Gebe miyim?,Merhaba testi 1 gün sonra tekrarlayın. Gebelik testleri %99 doğru sonuç verir. Silik testlerde genellikle pozitife döner 1 gün sonra. Emin olmak açısından tekrar kanda gebelik baktırabilirsiniz.
18,Uyuşma,"Merhaba;
Şikayetiniz anlık olup geçtiyse ve kalıcı bir hasar bırakmadıysa daha çok psikiyatrik bir problem olduğunu düşünebiliriz. Bu tarz şikayetler tekrar etmediği sürece sorun yaratmazlar. Bazen altta yatan nedenin araştırılması da gerekebilir. Müsait bir zamanda psikiyatri polikliniğini ziyaret ediniz."
19,Adet Söktürücü,Merhaba adet söktürücü ilaçlar hormonal dengenizi bozarak erken adet olmanızı sağlayabilir ama gebe kalmak için bu yol tehlikeli bir yoldur sonrasında hormonal dengesizlik ve adet düzensizliği olabileceğinden bu ilaçların kullanımı sonrası bir süre gebelik önerilmez. Düşük ile sonuçlanabilir. Sağlıklı günler
20,Örn Soru 17: kilo ve kıllanma,Ayrıntılı bir çok test yapılması gerekli. Ancak burda bunları belirtmemişsiniz. En mantıklısı bir endokronoloji uzmanına tekrar görünmeniz.
21,derin nefes alamama,"Merhabalar
Yaşamış olduğunuz problem genellikle psikiyatrik bir problemle ilişkilidir. Yakın zamanda yaşanan ağır travma, aşırı stres ve kaygı, ölüm korkusu gibi etmenler buna sebep olabilir. Öncelikle beraberinde nefes darlığı, öksürük, geceleri nefessiz kalarak uyanma gibi şikayetleriniz de varsa göğüs hastalıkları bölümüyle görüşebilirsiniz. Eğer bunlardan biri yok ise psikiyatri ile görüşüp uygun bir anksiyete önleyici ilaçla probleminizi çözüme kavuşturabilirsiniz.
Sağlıklı günler"
22,Sürtünmeyle hamile kalınır mı?,Spermler vajinaya temas etmediği sürece hamile kalınması mümkün değildir. Sürtünmeyle hamile kalınması (kıyafetli olarak) erkek boşalsa dahi mümkün değildir. 
23,Diz ve bacak ağrısı,"Merhaba
Yaşınızı belirtmediğiniz için sorunuza yanıt vermek zor olacak fakat otururken olan ağrılar genellikle kas yorgunluğuna bağlı olmakla birlikte diz ekleminde kireçlenme, bacak varisleri, siyatik sinir sıkışması, diz bağlarındaki problemler ve diz kapağı problemlerinden de kaynaklanabilir. 
Sizin için en uygunu ortopedi  ve fizik tedavi başta olmak üzere, kalp damar cerrahisi ve beyin cerrahisi bölümlerine muayane olmanızdır. Gerekli görüntüleme işlemlerinden sonra ilaç başlanacaktır."
24,Hiv,"Merhaba
Şüpheli bir cinsel ilişkide prezervatifin hiv virüsüne karşı cinsel yolla koruyuculuğu %100 denebilir. Geçiş gösterilmemiştir. (Prezervatif delinmesi vs yoksa) Fakat diğer virüsler için koruyuculuğu aynı oranda değildir. Örneğin hpv virüsü prezervatif kullanılsa bile bulaşabilir. Bu tarz ilişkilerde mutlaka partnerinizle konuşmanız şüphesiz en doğru yaklaşım olacaktır. "
25,Örn Soru 10: Testis Ağrısı,Üroloji doktoru ile aynı görüşteyim. Varikosele baplı ağrılarınız var. İleri dönemde kısırlığa bile sebep olabilir.
